ID,Country,Year,Outbreak,Region,S1,S2,S3,S4,,Status,Area_affected,Context,Context2,Detection_mode,Alert,Alert_bin,Detection_detail,Delay_symp_pres,Delay_symp_det,Delay_pres_det,Delay_symp_inv,Delay_pres_inv,Delay_symp_resp,Delay_pres_resp,Delay_symp_conf,Date_onset,Date_clinic,Date_labsignal,Date_detected,Detect_detail,Date_onset_eff,Date_pres_eff,Date_decl,Date_conf,Date_inv,Date_resp,Resp_detail,
1,Afghanistan,2010,"Afghanistan, 2010",EMRO,"WHO EMRO/WEM/3(38), 2010","MoH report, 2010",,,,New,"Nawa district, Ghazni province",Urban,Armed conflict,Formal alert,Alert,1,"NGO detected outbreak of ~60 cases in a single district. Through DEWS, the response took place on same day (in an insecure setting). 19 days after detection, the approximate caseload was more than double. ",3,6,3,6,3,6,3,,,8/8/2010,,8/9/2010,1_NGO_EWARS (exact date),8/3/2010,8/6/2010,NR,,8/9/2010,8/9/2010,"MOH/WHO delivered cholera kits, emergency medical supplies, trained NGO in outbreak investigation, sample collection, treatment (due to insecurity).",
2,Afghanistan,2011,"Afghanistan, 2011",EMRO,"WHO EMRO/WEM/4(18), 2011","WHO EMRO/WEM/4(26), 2011",,,,New,"Giro district, Ghazni province",Rural,Armed conflict,Formal alert,Alert,1,"Multiple cases and clusters were reported through DEWS. Surveillance officers did field investigations of rumours and recorded 255 cases of AWD with dehydration (end 4 may). They carried out rapid response in parallel. By 11 Jul, 1093 suspected cases reported.",5,21,16,21,16,,,,,4/11/2011,,4/27/2011,"1_NR_EWARS (midpoint last week April, 2011)",4/6/2011,4/11/2011,4/27/2011,,4/27/2011,,"DEWS surveillance officers did field investigation and active case finding (first week May, 2011); case management, health education, WASH measures.",
3,Angola,2016,"Angola, 2016",AFRO,"Moore et al, 2018","JCISA (W4, 2017)","JCISA (W8, 2017)",,,New,"Soyo, Zaire Province",Urban,Fragile situation,Not reported,,,"Related to outbreak in DRC (Kongo, Central Province). Single cases reported on 13 Dec and 146 cases reported on 18 Jan.",5,13,3,,,32,22,20,,12/13/2016,,12/21/2016,"4_NR (midpoint of week 51, 2016)",12/8/2016,12/18/2016,NR,12/28/2016,,1/9/2017,"MOH activated cholera prevention Commission and national strategic epidemic response plan (Jan 9, 2017)",
4,Angola,2017,"Angola, 2017",AFRO,"Moore et al, 2018","JCISA (W8, 2017)",ProMED (Angola Press Agency),,,New,"Tchizo neighborhood, Cabinda Province ",Urban,Fragile situation,Not reported,,,"Related to outbreak in DRC (Kongo, Central Province). Single cases reported on 13 Dec and 146 cases reported on 18 Jan.",10,5,0,,,17,12,7,,12/28/2016,,12/28/2016,"4_NR (midpoint of week 52, 2016)",12/23/2016,12/28/2016,NR,12/30/2016,,1/9/2017,"MOH activated cholera prevention Commission and national strategic epidemic response plan (Jan 9, 2017)",
5,Angola,2017,"Angola, 2017",AFRO,"Moore et al, 2018","WHO OEB (W6, 2018)","WHO OEB (W3, 2018)",,,New,"Uige Town, Uige Province",Urban,Fragile situation,Not reported,,,"Related to outbreak in DRC (Kimpangu, Central Province); two cases with travel history presented to healthcare facility in Uige (21 Dec). 27 days later, 411 cases and 9 deaths reported (17 Jan).",5,5,0,,,10,5,,,12/21/2017,,12/21/2017,4_HF (exact date),12/16/2017,12/21/2017,NR,,,12/26/2017,"RRT, CTC, active surveillance on Dec 29",
6,Benin,2008,"Benin, 2008",AFRO,"Gbary et al, 2011",,,,,New,"Centre de Sante Ayelawadje, Littoral Department (outskirts of Cotonou)",Urban,Other,Not reported,,,The outbreak was detected on 26 july 2008 at the CdS d’Ayélawadjè (no details on signal or source is given).,5,5,0,,,8,3,,,7/26/2008,,7/26/2008,4_HF (exact date),7/21/2008,7/26/2008,NR,,,7/29/2008,The Centre de Sante opened a CTC.,
7,Benin,2016,"Benin, 2016",AFRO,"UNICEF CP (W4, 2016)","UNICEF CP (W6, 2016)","DNSP Cholera Plan, 2017",,,New,"So-Tchanhoue village, So Ava Commune, Atlantique Department",Rural,Other,Formal alert,Alert,1,A single patient with comptible symptoms appeared in CdS and CdS gave an alert to the ZS (Feb 7). The notification took place relatively on time without waiting for the weekly declaration (Feb 25).,5,5,0,8,3,,,7,,2/7/2016,2/9/2016,2/7/2016,1_HF (exact date),2/2/2016,2/7/2016,2/9/2016,2/9/2016,2/10/2016,,Heavily local response carried out by CHWs and community workers.,
8,Benin,2016,"Benin, 2016",AFRO,"UNICEF CP (W10, 2016)","UNICEF Cholera Update, 2017","DNSP Cholera Plan, 2017",,,New,"Centre de sante de Dekanme, So Ava commune, Atlantique Department",Rural,Other,Formal alert,Alert,1,"Registered a case of diarrhea and vomiting at a health centre (Aug 9). Source: routine surveillance notification was done with one week's delay (Aug 17) to the ZS, and then to national level (Aug 29, 129 cases). Actors: health centre to ZS, but with a week's delay.",5,13,8,13,8,18,13,,,8/9/2016,,8/17/2016,3_HF (exact date),8/4/2016,8/9/2016,8/19/2016,,8/17/2016,8/22/2016,"UNICEF made cholera kits available in July before the outbreak; therefore, the kits permitted the first response in the commune of So-Ava. Response was supported by international actors and was bigger than for first outbreak.",
9,Burundi,2011,"Burundi, 2011",AFRO,"IFRC DREF, 9 Sept 2011","TNH report, 14 Sept 2011",,,,New,"Rumonge, Bururi province",Urban,Fragile situation,Not reported,,,"Since 3 August 2011, many diarrhoea cases [signal] have been reported from different health centres [source not indicated] in the 5 provinces.",5,7,2,,,20,15,16,,8/3/2011,,8/5/2011,4_NR (exact date),7/29/2011,8/3/2011,8/18/2011,8/14/2011,,8/18/2011,"Treatment centres setup in affected areas with emergency kits, comprising disinfection equipment, tents, rehydraton kits.",
10,Burundi,2012,"Burundi, 2012",AFRO,"IFRC DREF-FR, 13 Jun 2013","RC report, 9 Oct 2012",,,,New,Bujumbura town and Bujumbura Rural,Rural,Fragile situation,Not reported,,,"Beginning 30 September 2012, cases of diarrheal disease [signal] were reported in Bujumbura town and Bujumbura Rural in Burundi. [source, actors, not reported]",5,5,0,,,9,4,8,,9/30/2012,,9/30/2012,4_NR (exact date),9/25/2012,9/30/2012,10/3/2012,10/3/2012,,10/4/2012,"After the declaration by MoH in first week of October 2012, 70 volunteers were mobilized to support the response in the seven districts affected in terms of: community awareness, hygiene promotion campaigns in public markets, health centres and in administration meetings, WASH distributions.",
